service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
 1,0,0,0,0,0,1,0,20100407,20101004
 2,0,0,0,0,0,0,1,20100407,20101004
 3,1,1,1,1,1,0,0,20100407,20101004
 4,0,0,0,0,0,1,0,20100407,20100627
 5,0,0,0,0,1,0,0,20100407,20100627
 6,0,0,0,0,1,1,0,20100407,20100627
 7,1,1,1,1,1,0,0,20100407,20100627
 8,0,0,0,0,0,1,1,20100407,20100627
 9,1,1,1,1,0,0,1,20100407,20100627
10,0,0,0,0,0,0,0,20100407,20100627
11,1,1,1,1,1,0,0,20100407,20100627
12,1,1,1,1,0,0,0,20100407,20100627
13,0,0,0,0,0,0,1,20100407,20100627
14,0,0,0,0,0,1,0,20100407,20100627
15,1,1,1,1,1,0,0,20100407,20100627
