trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
1371,20:31:00,20:31:00,37002,5,0,0
1371,20:33:00,20:33:00,40337,6,1,1
1371,20:34:00,20:34:00,36998,7,0,0
1371,20:37:00,20:37:00,36997,8,0,0
1371,20:38:00,20:38:00,36996,9,0,0
1371,20:40:00,20:40:00,36995,10,0,0
1371,20:42:00,20:42:00,36994,11,0,0
1371,20:44:00,20:44:00,37376,12,0,0
1371,20:46:00,20:46:00,37377,13,0,0
1371,20:48:00,20:48:00,37378,14,0,0
1371,20:51:00,20:51:00,40336,15,1,1
1371,20:53:00,20:53:00,39348,16,0,0
1372,20:44:00,20:44:00,38229,1,0,0
1372,20:46:00,20:46:00,37005,2,0,0
1372,20:48:00,20:48:00,37004,3,0,0
1372,20:50:00,20:50:00,37003,4,0,0
1372,20:51:00,20:51:00,37002,5,0,0
1372,20:53:00,20:53:00,40337,6,1,1
1372,20:54:00,20:54:00,36998,7,0,0
1372,20:57:00,20:57:00,36997,8,0,0
1372,20:58:00,20:58:00,36996,9,0,0
1372,21:00:00,21:00:00,36995,10,0,0
1372,21:02:00,21:02:00,36994,11,0,0
1372,21:04:00,21:04:00,37376,12,0,0
1372,21:06:00,21:06:00,37377,13,0,0
1372,21:08:00,21:08:00,37378,14,0,0
1372,21:11:00,21:11:00,40336,15,1,1
1372,21:13:00,21:13:00,39348,16,0,0
1373,21:04:00,21:04:00,38229,1,0,0
1373,21:06:00,21:06:00,37005,2,0,0
1373,21:08:00,21:08:00,37004,3,0,0
1373,21:10:00,21:10:00,37003,4,0,0
1373,21:11:00,21:11:00,37002,5,0,0
1373,21:13:00,21:13:00,40337,6,1,1
1373,21:14:00,21:14:00,36998,7,0,0
1373,21:17:00,21:17:00,36997,8,0,0
1373,21:18:00,21:18:00,36996,9,0,0
1373,21:20:00,21:20:00,36995,10,0,0
1373,21:22:00,21:22:00,36994,11,0,0
1373,21:24:00,21:24:00,37376,12,0,0
1373,21:26:00,21:26:00,37377,13,0,0
1373,21:28:00,21:28:00,37378,14,0,0
1373,21:31:00,21:31:00,40336,15,1,1
1373,21:33:00,21:33:00,39348,16,0,0
1374,21:24:00,21:24:00,38229,1,0,0
1374,21:26:00,21:26:00,37005,2,0,0
1374,21:28:00,21:28:00,37004,3,0,0
1374,21:30:00,21:30:00,37003,4,0,0
1374,21:31:00,21:31:00,37002,5,0,0
1374,21:33:00,21:33:00,40337,6,1,1
1374,21:34:00,21:34:00,36998,7,0,0
1374,21:37:00,21:37:00,36997,8,0,0
1374,21:38:00,21:38:00,36996,9,0,0
1374,21:40:00,21:40:00,36995,10,0,0
1374,21:42:00,21:42:00,36994,11,0,0
1374,21:44:00,21:44:00,37376,12,0,0
1374,21:46:00,21:46:00,37377,13,0,0
1374,21:48:00,21:48:00,37378,14,0,0
1374,21:51:00,21:51:00,40336,15,1,1
1374,21:53:00,21:53:00,39348,16,0,0
1375,21:44:00,21:44:00,38229,1,0,0
1375,21:46:00,21:46:00,37005,2,0,0
1375,21:48:00,21:48:00,37004,3,0,0
1375,21:50:00,21:50:00,37003,4,0,0
1375,21:51:00,21:51:00,37002,5,0,0
1375,21:53:00,21:53:00,40337,6,1,1
1375,21:54:00,21:54:00,36998,7,0,0
1375,21:57:00,21:57:00,36997,8,0,0
1375,21:58:00,21:58:00,36996,9,0,0
1375,22:00:00,22:00:00,36995,10,0,0
1375,22:02:00,22:02:00,36994,11,0,0
1375,22:04:00,22:04:00,37376,12,0,0
1375,22:06:00,22:06:00,37377,13,0,0
1375,22:08:00,22:08:00,37378,14,0,0
1375,22:11:00,22:11:00,40336,15,1,1
1375,22:13:00,22:13:00,39348,16,0,0
1376,22:04:00,22:04:00,38229,1,0,0
1376,22:06:00,22:06:00,37005,2,0,0
1376,22:08:00,22:08:00,37004,3,0,0
1376,22:10:00,22:10:00,37003,4,0,0
1376,22:11:00,22:11:00,37002,5,0,0
1376,22:13:00,22:13:00,40337,6,1,1
1376,22:14:00,22:14:00,36998,7,0,0
1376,22:17:00,22:17:00,36997,8,0,0
1376,22:18:00,22:18:00,36996,9,0,0
1376,22:20:00,22:20:00,36995,10,0,0
1376,22:22:00,22:22:00,36994,11,0,0
1376,22:24:00,22:24:00,37376,12,0,0
1376,22:26:00,22:26:00,37377,13,0,0
1376,22:28:00,22:28:00,37378,14,0,0
1376,22:31:00,22:31:00,40336,15,1,1
1376,22:33:00,22:33:00,39348,16,0,0
1377,22:24:00,22:24:00,38229,1,0,0
1377,22:26:00,22:26:00,37005,2,0,0
1377,22:28:00,22:28:00,37004,3,0,0
1377,22:30:00,22:30:00,37003,4,0,0
1377,22:31:00,22:31:00,37002,5,0,0
1377,22:33:00,22:33:00,40337,6,1,1
1377,22:34:00,22:34:00,36998,7,0,0
1377,22:37:00,22:37:00,36997,8,0,0
1377,22:38:00,22:38:00,36996,9,0,0
1377,22:40:00,22:40:00,36995,10,0,0
1377,22:42:00,22:42:00,36994,11,0,0
1377,22:44:00,22:44:00,37376,12,0,0
1377,22:46:00,22:46:00,37377,13,0,0
1377,22:48:00,22:48:00,37378,14,0,0
1377,22:51:00,22:51:00,40336,15,1,1
1377,22:53:00,22:53:00,39348,16,0,0
1378,22:44:00,22:44:00,38229,1,0,0
1378,22:46:00,22:46:00,37005,2,0,0
1378,22:48:00,22:48:00,37004,3,0,0
1378,22:50:00,22:50:00,37003,4,0,0
1378,22:51:00,22:51:00,37002,5,0,0
1378,22:53:00,22:53:00,40337,6,1,1
1378,22:54:00,22:54:00,36998,7,0,0
1378,22:57:00,22:57:00,36997,8,0,0
1378,22:58:00,22:58:00,36996,9,0,0
1378,23:00:00,23:00:00,36995,10,0,0
