service_id,date,exception_type
SAT,20110117,1
SUN,20110101,1
SUN,20101125,1
SUN,20101225,1
SAT,20101231,1
SUNAB,20111124,1
SUNAB,20110221,1
SUNAB,20110530,1
SUNAB,20110704,1
SUNAB,20110905,1
SUNAB,20101125,1
SUNAB,20101225,1
SUNAB,20110117,1
WKDY,20110117,2
SAT,20110101,2
WKDY,20101125,2
SAT,20101225,2
WKDY,20101231,2
M-FSAT,20111124,2
M-FSAT,20110221,2
M-FSAT,20110530,2
M-FSAT,20110704,2
M-FSAT,20110905,2
M-FSAT,20101125,2
M-FSAT,20101225,2
M-FSAT,20110117,2
M-FSAT,20101231,2
