"route_id","service_id","trip_id","trip_headsign","direction_id"
"1","GO203_1065","GO203_102","Babylon","0"
"1","GO203_1065","GO203_103","Penn Station","0"
"1","GO203_1065","GO203_104","Babylon","0"
"1","GO203_1065","GO203_105","Penn Station","0"
"1","GO203_1065","GO203_106","Babylon","0"
"1","GO203_1065","GO203_107","Penn Station","0"
"1","GO203_1065","GO203_108","Babylon","0"
"1","GO203_1065","GO203_109","Penn Station","0"
"1","GO203_1065","GO203_1011","Penn Station","0"
"1","GO203_1065","GO203_1012","Babylon","0"
"1","GO203_1065","GO203_1013","Penn Station","0"
"1","GO203_1065","GO203_1014","Babylon","0"
"2","GO203_1065","GO203_1015","Atlantic Terminal","0"
"1","GO203_1065","GO203_1016","Babylon","0"
"1","GO203_1065","GO203_1017","Penn Station","0"
"1","GO203_1065","GO203_1018","Babylon","0"
"1","GO203_1065","GO203_1019","Penn Station","0"
"1","GO203_1065","GO203_1022","Babylon","0"
"1","GO203_1065","GO203_1024","Babylon","0"
"1","GO203_1065","GO203_1025","Penn Station","0"
"2","GO203_1065","GO203_1027","Atlantic Terminal","0"
"1","GO203_1065","GO203_1028","Babylon","0"
"1","GO203_1065","GO203_1029","Penn Station","0"
"1","GO203_1065","GO203_1031","Penn Station","0"
"1","GO203_1065","GO203_1032","Babylon","0"
"2","GO203_1065","GO203_1033","Atlantic Terminal","0"
"1","GO203_1065","GO203_1034","Babylon","0"
"1","GO203_1065","GO203_1035","Penn Station","0"
"1","GO203_1065","GO203_1036","Babylon","0"
"1","GO203_1065","GO203_1038","Babylon","0"
"2","GO203_1065","GO203_1039","Atlantic Terminal","0"
"1","GO203_1065","GO203_1042","Babylon","0"
"1","GO203_1065","GO203_1043","Penn Station","0"
"1","GO203_1065","GO203_1044","Babylon","0"
"1","GO203_1065","GO203_1045","Penn Station","0"
"1","GO203_1065","GO203_1046","Babylon","0"
"1","GO203_1065","GO203_1047","Penn Station","0"
"1","GO203_1065","GO203_1048","Babylon","0"
"1","GO203_1065","GO203_1049","Penn Station","0"
"1","GO203_1065","GO203_1051","Penn Station","0"
"1","GO203_1065","GO203_1052","Babylon","0"
"1","GO203_1065","GO203_1053","Penn Station","0"
"1","GO203_1065","GO203_1055","Penn Station","0"
"1","GO203_1065","GO203_1057","Penn Station","0"
"1","GO203_1065","GO203_1059","Penn Station","0"
"1","GO203_1065","GO203_1061","Penn Station","0"
"1","GO203_1065","GO203_1063","Penn Station","0"
"1","GO203_1065","GO203_1065","Penn Station","0"
"1","GO203_1065","GO203_1067","Penn Station","0"
"1","GO203_1065","GO203_1069","Penn Station","0"
"1","GO203_1065","GO203_10102","Babylon","0"
"1","GO203_1065","GO203_10103","Penn Station","0"
"1","GO203_1065","GO203_10104","Babylon","0"
"1","GO203_1065","GO203_10105","Penn Station","0"
"1","GO203_1065","GO203_10107","Penn Station","0"
"1","GO203_1065","GO203_10108","Babylon","0"
"1","GO203_1065","GO203_10109","Penn Station","0"
"1","GO203_1065","GO203_10110","Babylon","0"
"1","GO203_1065","GO203_10111","Penn Station","0"
"1","GO203_1010","GO203_10112","Babylon","0"
"1","GO203_1065","GO203_10113","Penn Station","0"
"1","GO203_1065","GO203_10114","Babylon","0"
"1","GO203_1065","GO203_10115","Penn Station","0"
"1","GO203_1010","GO203_10116","Babylon","0"
"1","GO203_1065","GO203_10117","Penn Station","0"
"1","GO203_1065","GO203_10119","Penn Station","0"
"1","GO203_1065","GO203_10120","Babylon","0"
"1","GO203_1010","GO203_10122","Babylon","0"
"1","GO203_1065","GO203_10123","Penn Station","0"
"1","GO203_108","GO203_10124","Babylon","0"
"1","GO203_1065","GO203_10125","Penn Station","0"
"1","GO203_1065","GO203_10126","Babylon","0"
"1","GO203_1065","GO203_10127","Penn Station","0"
"1","GO203_108","GO203_10128","Babylon","0"
"1","GO203_1065","GO203_10129","Penn Station","0"
"1","GO203_1065","GO203_10131","Penn Station","0"
"1","GO203_1065","GO203_10132","Babylon","0"
