service_id, monday, tuesday, wednesday, thursday, friday, saturday, sunday, start_date, end_date
weekday, 1, 1, 1, 1, 1, 0, 0, 20101017, 20110401
weekend, 0, 0, 0, 0, 0, 1, 1, 20101017, 20110401
mon, 1, 0, 0, 0, 0, 0, 0, 20101017, 20110401
tu-th, 0, 1, 1, 1, 0, 0, 0, 20101017, 20110401
fri, 0, 0, 0, 0, 1, 0, 0, 20101017, 20110401
sat, 0, 0, 0, 0, 0, 1, 0, 20101017, 20110401
sun, 0, 0, 0, 0, 0, 0, 1, 20101017, 20110401
mon-sat, 1, 1, 1, 1, 1, 1, 0, 20101017, 20110401
weekday-closed, 1, 1, 1, 1, 1, 0, 0, 20101017, 20110401
sun-mon, 1, 0, 0, 0, 0, 0, 1, 20101017, 20110401
