shape_id, shape_pt_lat, shape_pt_lon, shape_pt_sequence
1, 41.705839, -73.937946, 51000
1, 41.587448, -73.947226, 47000
1, 41.504007, -73.984528, 46000
1, 41.450181, -73.982449, 44000
1, 41.415283, -73.95809, 43000
1, 41.38178, -73.947202, 42000
1, 41.335181, -73.967328, 40000
1, 41.285962, -73.93042, 39000
1, 41.246259, -73.921884, 37000
1, 41.192391, -73.884071, 33000
1, 41.157663, -73.869281, 31000
1, 41.135763, -73.866163, 30000
1, 41.09492, -73.869755, 29000
1, 41.076473, -73.864563, 27000
1, 41.039993, -73.873083, 25000
1, 41.026198, -73.876543, 24000
1, 41.012459, -73.87949, 23000
1, 40.994109, -73.884512, 22000
1, 40.97104, -73.889989, 20000
1, 40.950496, -73.899062, 19000
1, 40.935795, -73.902668, 18000
1, 40.924972, -73.904612, 17000
1, 40.903981, -73.914126, 16000
1, 40.878245, -73.921455, 14000
1, 40.874333, -73.910941, 11000
1, 40.862248, -73.91312, 10000
1, 40.854252, -73.919583, 9000
1, 40.8253, -73.9299, 7000
1, 40.805157, -73.939149, 4000
1, 40.752998, -73.977056, 1000
2, 40.752998, -73.977056, 1000
2, 40.805157, -73.939149, 4000
2, 40.8253, -73.9299, 7000
2, 40.854252, -73.919583, 9000
2, 40.862248, -73.91312, 10000
2, 40.874333, -73.910941, 11000
2, 40.878245, -73.921455, 14000
2, 40.903981, -73.914126, 16000
2, 40.924972, -73.904612, 17000
2, 40.935795, -73.902668, 18000
2, 40.950496, -73.899062, 19000
2, 40.97104, -73.889989, 20000
2, 40.994109, -73.884512, 22000
2, 41.012459, -73.87949, 23000
2, 41.026198, -73.876543, 24000
2, 41.039993, -73.873083, 25000
2, 41.076473, -73.864563, 27000
2, 41.09492, -73.869755, 29000
2, 41.135763, -73.866163, 30000
2, 41.157663, -73.869281, 31000
2, 41.192391, -73.884071, 33000
2, 41.246259, -73.921884, 37000
2, 41.285962, -73.93042, 39000
2, 41.335181, -73.967328, 40000
2, 41.38178, -73.947202, 42000
2, 41.415283, -73.95809, 43000
2, 41.450181, -73.982449, 44000
2, 41.504007, -73.984528, 46000
2, 41.587448, -73.947226, 47000
2, 41.705839, -73.937946, 51000
3, 41.821579, -73.563583, 103000
3, 41.779938, -73.558204, 102000
3, 41.740401, -73.576502, 101000
3, 41.637525, -73.57145, 100000
3, 41.61081, -73.57871, 99000
3, 41.564205, -73.600524, 98000
3, 41.511827, -73.604584, 97000
3, 41.413203, -73.623787, 94000
3, 41.39447, -73.619802, 91000
3, 41.347722, -73.662269, 90000
3, 41.325775, -73.659061, 89000
3, 41.294338, -73.677655, 88000
3, 41.259552, -73.684155, 86000
3, 41.237316, -73.699936, 85000
3, 41.208242, -73.729778, 84000
3, 41.158015, -73.774885, 83000
3, 41.135222, -73.792661, 81000
3, 41.097218, -73.794327, 80000
3, 41.097165, -73.794235, 79000
3, 41.072819, -73.772599, 78000
3, 41.049806, -73.773142, 76000
3, 41.032589, -73.775208, 74000
3, 41.010333, -73.796407, 72000
3, 40.989168, -73.808634, 71000
3, 40.958997, -73.820564, 68000
3, 40.949393, -73.830166, 66000
3, 40.93978, -73.835208, 65000
3, 40.92699, -73.83948, 64000
3, 40.912142, -73.851129, 62000
3, 40.905424, -73.854665, 61000
3, 40.895361, -73.862916, 59000
3, 40.878569, -73.871064, 58000
3, 40.866555, -73.883109, 57000
3, 40.8615, -73.89058, 56000
3, 40.847301, -73.89955, 55000
3, 40.825761, -73.915231, 54000
3, 40.8253, -73.9299, 7000
3, 40.805157, -73.939149, 4000
3, 40.752998, -73.977056, 1000
4, 40.752998, -73.977056, 1000
4, 40.805157, -73.939149, 4000
4, 40.8253, -73.9299, 7000
4, 40.825761, -73.915231, 54000
4, 40.847301, -73.89955, 55000
4, 40.8615, -73.89058, 56000
4, 40.866555, -73.883109, 57000
4, 40.878569, -73.871064, 58000
4, 40.895361, -73.862916, 59000
4, 40.905424, -73.854665, 61000
4, 40.912142, -73.851129, 62000
4, 40.92699, -73.83948, 64000
4, 40.93978, -73.835208, 65000
4, 40.949393, -73.830166, 66000
4, 40.958997, -73.820564, 68000
4, 40.989168, -73.808634, 71000
