trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
2726015,08:52:00,08:52:00,149,1,0,0
2726015,09:02:00,09:02:00,145,2,0,0
2726015,09:07:00,09:07:00,143,3,0,0
2726015,09:13:00,09:13:00,140,4,0,0
2726015,09:20:00,09:20:00,138,5,0,0
2726015,09:24:00,09:24:00,136,6,0,0
2726015,09:28:00,09:28:00,134,7,0,0
2726015,09:34:00,09:34:00,131,8,0,0
2726015,09:37:00,09:37:00,129,9,0,0
2726015,09:40:00,09:40:00,128,10,0,0
2726015,09:43:00,09:43:00,127,11,0,0
2726015,09:49:00,09:49:00,124,12,0,0
2726015,10:28:00,10:28:00,4,13,1,0
2726015,10:39:00,10:39:00,1,14,0,0
2726017,09:32:00,09:32:00,149,1,0,0
2726017,09:42:00,09:42:00,145,2,0,0
2726017,09:47:00,09:47:00,143,3,0,0
2726017,09:53:00,09:53:00,140,4,0,0
2726017,10:00:00,10:00:00,138,5,0,0
2726017,10:08:00,10:08:00,134,6,0,0
2726017,10:13:00,10:13:00,131,7,0,0
2726017,10:17:00,10:17:00,128,8,0,0
2726017,10:24:00,10:24:00,124,9,0,0
2726017,11:04:00,11:04:00,4,10,1,0
2726017,11:15:00,11:15:00,1,11,0,0
2726018,09:52:00,09:52:00,149,1,0,0
2726018,10:02:00,10:02:00,145,2,0,0
2726018,10:07:00,10:07:00,143,3,0,0
2726018,10:13:00,10:13:00,140,4,0,0
2726018,10:20:00,10:20:00,138,5,0,0
2726018,10:23:00,10:23:00,137,6,0,0
2726018,10:28:00,10:28:00,134,7,0,0
2726018,10:31:00,10:31:00,133,8,0,0
2726018,10:35:00,10:35:00,131,9,0,0
2726018,10:40:00,10:40:00,128,10,0,0
2726018,10:43:00,10:43:00,127,11,0,0
2726018,10:49:00,10:49:00,124,12,0,0
2726018,11:28:00,11:28:00,4,13,1,0
2726018,11:39:00,11:39:00,1,14,0,0
2726020,10:32:00,10:32:00,149,1,0,0
2726020,10:42:00,10:42:00,145,2,0,0
2726020,10:47:00,10:47:00,143,3,0,0
2726020,10:53:00,10:53:00,140,4,0,0
2726020,11:00:00,11:00:00,138,5,0,0
2726020,11:08:00,11:08:00,134,6,0,0
2726020,11:13:00,11:13:00,131,7,0,0
2726020,11:17:00,11:17:00,128,8,0,0
2726020,11:24:00,11:24:00,124,9,0,0
2726020,12:04:00,12:04:00,4,10,1,0
2726020,12:15:00,12:15:00,1,11,0,0
2726021,10:52:00,10:52:00,149,1,0,0
2726021,11:02:00,11:02:00,145,2,0,0
2726021,11:07:00,11:07:00,143,3,0,0
2726021,11:13:00,11:13:00,140,4,0,0
2726021,11:20:00,11:20:00,138,5,0,0
2726021,11:24:00,11:24:00,136,6,0,0
2726021,11:28:00,11:28:00,134,7,0,0
2726021,11:34:00,11:34:00,131,8,0,0
2726021,11:37:00,11:37:00,129,9,0,0
2726021,11:40:00,11:40:00,128,10,0,0
2726021,11:43:00,11:43:00,127,11,0,0
2726021,11:49:00,11:49:00,124,12,0,0
2726021,12:28:00,12:28:00,4,13,1,0
2726021,12:39:00,12:39:00,1,14,0,0
2726023,11:32:00,11:32:00,149,1,0,0
2726023,11:42:00,11:42:00,145,2,0,0
2726023,11:47:00,11:47:00,143,3,0,0
2726023,11:53:00,11:53:00,140,4,0,0
2726023,12:00:00,12:00:00,138,5,0,0
2726023,12:08:00,12:08:00,134,6,0,0
2726023,12:13:00,12:13:00,131,7,0,0
2726023,12:17:00,12:17:00,128,8,0,0
2726023,12:24:00,12:24:00,124,9,0,0
2726023,13:04:00,13:04:00,4,10,1,0
2726023,13:15:00,13:15:00,1,11,0,0
2726024,11:52:00,11:52:00,149,1,0,0
2726024,12:02:00,12:02:00,145,2,0,0
2726024,12:07:00,12:07:00,143,3,0,0
2726024,12:13:00,12:13:00,140,4,0,0
2726024,12:20:00,12:20:00,138,5,0,0
2726024,12:23:00,12:23:00,137,6,0,0
2726024,12:28:00,12:28:00,134,7,0,0
2726024,12:31:00,12:31:00,133,8,0,0
