stop_id, stop_name, stop_desc, stop_lat, stop_lon
1, Grand Central Terminal, , 40.752998, -73.977056
4, Harlem-125th St., , 40.805157, -73.939149
622, Yankees-E153 St., , 40.8253, -73.9299
9, Morris Heights, , 40.854252, -73.919583
10, University Heights, , 40.862248, -73.91312
11, Marble Hill, , 40.874333, -73.910941
14, Spuyten Duyvil, , 40.878245, -73.921455
16, Riverdale, , 40.903981, -73.914126
17, Ludlow, , 40.924972, -73.904612
18, Yonkers, , 40.935795, -73.902668
19, Glenwood, , 40.950496, -73.899062
20, Greystone, , 40.97104, -73.889989
22, Hastings-on-Hudson, , 40.994109, -73.884512
23, Dobbs Ferry, , 41.012459, -73.87949
24, Ardsley-on-Hudson, , 41.026198, -73.876543
25, Irvington, , 41.039993, -73.873083
27, Tarrytown, , 41.076473, -73.864563
29, Philipse Manor, , 41.09492, -73.869755
30, Scarborough, , 41.135763, -73.866163
31, Ossining, , 41.157663, -73.869281
33, Croton Harmon, , 41.192391, -73.884071
37, Cortlandt, , 41.246259, -73.921884
39, Peekskill, , 41.285962, -73.93042
40, Manitou, , 41.335181, -73.967328
42, Garrison, , 41.38178, -73.947202
43, Cold Spring, , 41.415283, -73.95809
44, Breakneck Ridge, , 41.450181, -73.982449
46, Beacon, , 41.504007, -73.984528
49, New Hamburg, , 41.587448, -73.947226
51, Poughkeepsie, , 41.705839, -73.937946
54, Melrose, , 40.825761, -73.915231
55, Tremont, , 40.847301, -73.89955
56, Fordham, , 40.8615, -73.89058
57, Botanical Garden, , 40.866555, -73.883109
58, Williams Bridge, , 40.878569, -73.871064
59, Woodlawn, , 40.895361, -73.862916
61, Wakefield, , 40.905424, -73.854665
62, Mt Vernon West, , 40.912142, -73.851129
64, Fleetwood, , 40.92699, -73.83948
65, Bronxville, , 40.93978, -73.835208
66, Tuckahoe, , 40.949393, -73.830166
68, Crestwood, , 40.958997, -73.820564
71, Scarsdale, , 40.989168, -73.808634
72, Hartsdale, , 41.010333, -73.796407
74, White Plains, , 41.032589, -73.775208
76, North White Plains, , 41.049806, -73.773142
78, Valhalla, , 41.072819, -73.772599
79, Mount Pleasant, , 41.097165, -73.794235
80, Hawthorne, , 41.097218, -73.794327
81, Pleasantville, , 41.135222, -73.792661
83, Chappaqua, , 41.158015, -73.774885
84, Mount Kisco, , 41.208242, -73.729778
85, Bedford Hills, , 41.237316, -73.699936
86, Katonah, , 41.259552, -73.684155
88, Golden's Bridge, , 41.294338, -73.677655
89, Purdy's, , 41.325775, -73.659061
90, Croton Falls, , 41.347722, -73.662269
91, Brewster, , 41.39447, -73.619802
94, Southeast, , 41.413203, -73.623787
97, Patterson, , 41.511827, -73.604584
98, Pawling, , 41.564205, -73.600524
99, Appalachian Trail, , 41.61081, -73.57871
100, HM Valley-Wingdale, , 41.637525, -73.57145
101, Dover Plains, , 41.740401, -73.576502
176, Tenmile River, , 41.779938, -73.558204
177, Wassaic, , 41.821579, -73.563583
105, Mt Vernon East, , 40.912161, -73.832185
106, Pelham, , 40.910321, -73.810242
108, New Rochelle, , 40.911605, -73.783807
110, Larchmont, , 40.933394, -73.759792
111, Mamaroneck, , 40.954061, -73.736125
112, Harrison, , 40.969432, -73.712964
114, Rye, , 40.986744, -73.679131
115, Port Chester, , 41.000732, -73.6647
116, Greenwich, , 41.021277, -73.624621
118, Cos Cob, , 41.030171, -73.598306
120, Riverside, , 41.031682, -73.588173
121, Old Greenwich, , 41.033817, -73.565859
124, Stamford, , 41.046611, -73.542846
153, Glenbrook, , 41.070547, -73.520021
154, Springdale, , 41.08876, -73.517828
155, Talmadge Hill, , 41.116012, -73.498149
157, New Canaan, , 41.146305, -73.495626
127, Noroton Heights, , 41.069041, -73.49788
128, Darien, , 41.076913, -73.472966
129, Rowayton, , 41.077456, -73.445527
131, South Norwalk, , 41.09673, -73.421132
158, Merritt 7, , 41.143382, -73.427917
160, Wilton, , 41.196202, -73.432434
161, Cannondale, , 41.21662, -73.426703
162, Branchville, , 41.26763, -73.441421
163, Redding, , 41.325684, -73.4338
164, Bethel, , 41.378159, -73.419118
165, Danbury, , 41.396363, -73.450163
133, East Norwalk, , 41.103996, -73.404588
134, Westport, , 41.118928, -73.371413
136, Green's Farms, , 41.122265, -73.315408
137, Southport, , 41.134844, -73.28897
138, Fairfield, , 41.143077, -73.257742
140, Bridgeport, , 41.178677, -73.187076
143, Stratford, , 41.194255, -73.131532
167, Derby, , 41.319718, -73.083548
168, Ansonia, , 41.340272, -73.078609
169, Seymour, , 41.395139, -73.072499
170, Beacon Falls, , 41.441752, -73.06359
171, Naugatuck, , 41.494204, -73.052655
172, Waterbury, , 41.552728, -73.046126
145, Milford, , 41.223231, -73.057647
149, New Haven - Union Station, , 41.296501, -72.92829
151, NH-State St., , 41.304979, -72.921747
