route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color
1,1,"1","",3,"",
2,1,"107","",3,"",
3,1,"108","",3,"",
4,1,"11","",3,"",
5,1,"111","",3,"",
6,1,"112","",3,"",
7,1,"113","",3,"",
8,1,"114","",3,"",
9,1,"115","",3,"",
10,1,"116","",3,"",
11,1,"117","",3,"",
12,1,"120","",3,"",
13,1,"121","",3,"",
14,1,"122","",3,"",
15,1,"123","",3,"",
16,1,"124","",3,"",
17,1,"125","",3,"",
18,1,"126","",3,"",
19,1,"127","",3,"",
20,1,"128","",3,"",
21,1,"129","",3,"",
22,1,"13","",3,"",
23,1,"130","",3,"",
24,1,"131","",3,"",
25,1,"132","",3,"",
26,1,"133","",3,"",
27,1,"135","",3,"",
28,1,"136","",3,"",
29,1,"137","",3,"",
30,1,"138","",3,"",
31,1,"139","",3,"",
32,1,"144","",3,"",
33,1,"145","",3,"",
34,1,"148","",3,"",
35,1,"151","",3,"",
36,1,"153","",3,"",
37,1,"154","",3,"",
38,1,"155","",3,"",
39,1,"156","",3,"",
40,1,"157","",3,"",
41,1,"158","",3,"",
42,1,"159","",3,"",
43,1,"160","",3,"",
44,1,"161","",3,"",
45,1,"162","",3,"",
46,1,"163","",3,"",
47,1,"163S","",3,"",
48,1,"164","",3,"",
49,1,"165","",3,"",
50,1,"166","",3,"",
51,1,"167","",3,"",
52,1,"168","",3,"",
53,1,"171","",3,"",
54,1,"175","",3,"",
55,1,"177","",3,"",
56,1,"178","",3,"",
57,1,"181","",3,"",
58,1,"182","",3,"",
59,1,"186","",3,"",
60,1,"188","",3,"",
61,1,"190","",3,"",
62,1,"191","",3,"",
63,1,"192","",3,"",
64,1,"193","",3,"",
65,1,"194","",3,"",
66,1,"195","",3,"",
67,1,"196","",3,"",
68,1,"197","",3,"",
69,1,"198","",3,"",
70,1,"199","",3,"",
71,1,"2","",3,"",
72,1,"21","",3,"",
73,1,"22","",3,"",
74,1,"23","",3,"",
75,1,"25","",3,"",
76,1,"26","",3,"",
77,1,"27","",3,"",
78,1,"28","",3,"",
79,1,"29","",3,"",
80,1,"30","",3,"",
81,1,"313","",3,"",
82,1,"315","",3,"",
83,1,"317","",3,"",
84,1,"319","",3,"",
85,1,"320","",3,"",
86,1,"321","",3,"",
87,1,"324","",3,"",
88,1,"329","",3,"",
89,1,"34","",3,"",
90,1,"34S","",3,"",
91,1,"361","",3,"",
92,1,"37","",3,"",
93,1,"375","",3,"",
94,1,"378","",3,"",
95,1,"39","",3,"",
96,1,"40","",3,"",
97,1,"400","",3,"",
98,1,"401","",3,"",
99,1,"402","",3,"",
100,1,"403","",3,"",
101,1,"404","",3,"",
102,1,"405","",3,"",
103,1,"406","",3,"",
104,1,"407","",3,"",
105,1,"408","",3,"",
106,1,"409","",3,"",
107,1,"41","",3,"",
108,1,"410","",3,"",
109,1,"412","",3,"",
110,1,"413","",3,"",
111,1,"417","",3,"",
112,1,"418","",3,"",
113,1,"419","",3,"",
114,1,"42","",3,"",
115,1,"43","",3,"",
116,1,"450","",3,"",
117,1,"451","",3,"",
118,1,"452","",3,"",
119,1,"453","",3,"",
120,1,"455","",3,"",
121,1,"457","",3,"",
122,1,"459","",3,"",
123,1,"460","",3,"",
124,1,"463","",3,"",
125,1,"468","",3,"",
126,1,"5","",3,"",
127,1,"501","",3,"",
128,1,"502","",3,"",
129,1,"504","",3,"",
130,1,"505","",3,"",
131,1,"507","",3,"",
132,1,"508","",3,"",
133,1,"509","",3,"",
134,1,"52","",3,"",
135,1,"551","",3,"",
136,1,"552","",3,"",
137,1,"553","",3,"",
138,1,"554","",3,"",
139,1,"559","",3,"",
140,1,"56","",3,"",
141,1,"57","",3,"",
142,1,"58","",3,"",
143,1,"59","",3,"",
144,1,"6","",3,"",
145,1,"600","",3,"",
146,1,"601","",3,"",
147,1,"602","",3,"",
148,1,"603","",3,"",
149,1,"604","",3,"",
150,1,"605","",3,"",
151,1,"606","",3,"",
152,1,"607","",3,"",
153,1,"608","",3,"",
154,1,"609","",3,"",
155,1,"610","",3,"",
156,1,"611","",3,"",
157,1,"612","",3,"",
158,1,"613","",3,"",
159,1,"619","",3,"",
160,1,"62","",3,"",
161,1,"63","",3,"",
162,1,"64","",3,"",
163,1,"65","",3,"",
164,1,"66","",3,"",
165,1,"67","",3,"",
166,1,"68","",3,"",
167,1,"70","",3,"",
168,1,"702","",3,"",
169,1,"703","",3,"",
170,1,"704","",3,"",
171,1,"704P","",3,"",
172,1,"704S","",3,"",
173,1,"705","",3,"",
174,1,"707","",3,"",
175,1,"709","",3,"",
176,1,"71","",3,"",
177,1,"712","",3,"",
178,1,"712S","",3,"",
179,1,"72","",3,"",
180,1,"722","",3,"",
181,1,"73","",3,"",
182,1,"74","",3,"",
183,1,"744","",3,"",
184,1,"746","",3,"",
185,1,"748","",3,"",
186,1,"75","",3,"",
187,1,"751","",3,"",
188,1,"752","",3,"",
189,1,"753","",3,"",
190,1,"755","",3,"",
191,1,"756","",3,"",
192,1,"758","",3,"",
193,1,"76","",3,"",
194,1,"762","",3,"",
195,1,"770","",3,"",
196,1,"772","",3,"",
197,1,"78","",3,"",
198,1,"780","",3,"",
199,1,"79","",3,"",
200,1,"80","",3,"",
201,1,"801","",3,"",
202,1,"802","",3,"",
203,1,"803","",3,"",
204,1,"804","",3,"",
205,1,"805","",3,"",
206,1,"81","",3,"",
207,1,"810","",3,"",
208,1,"811","",3,"",
209,1,"813","",3,"",
210,1,"814","",3,"",
211,1,"815","",3,"",
212,1,"817","",3,"",
213,1,"818","",3,"",
214,1,"819","",3,"",
215,1,"82","",3,"",
216,1,"822","",3,"",
217,1,"83","",3,"",
218,1,"830","",3,"",
219,1,"831","",3,"",
220,1,"832","",3,"",
