trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
1,21:15:00,21:15:00,24070,1,0,0,0.0000
1,21:25:00,21:25:00,41586,2,0,0,2.5727
2,21:15:00,21:15:00,24070,1,0,0,0.0000
2,21:25:00,21:25:00,41586,2,0,0,2.5727
3,20:10:00,20:10:00,10,1,0,0,0.0000
3,20:19:00,20:19:00,2,2,0,0,5.2805
3,20:34:00,20:34:00,39,3,0,0,15.8074
3,20:45:00,20:45:00,55,4,0,0,26.6794
3,20:58:00,20:58:00,9,5,0,0,38.6500
3,21:05:00,21:05:00,71,6,0,0,44.6735
3,21:16:00,21:16:00,28,7,0,0,51.5695
3,21:46:00,21:46:00,1,8,0,0,59.2680
4,22:33:00,22:33:00,10,1,0,0,0.0000
4,22:42:00,22:42:00,2,2,0,0,5.2805
4,22:53:00,22:53:00,39,3,0,0,15.8074
4,23:04:00,23:04:00,55,4,0,0,26.6794
4,23:17:00,23:17:00,9,5,0,0,38.6500
4,23:29:00,23:29:00,71,6,0,0,44.6735
4,23:40:00,23:40:00,28,7,0,0,51.5695
4,24:10:00,24:10:00,1,8,0,0,59.2680
5,25:48:00,25:48:00,10,1,0,0,0.0000
5,25:56:00,25:56:00,2,2,0,0,5.2805
5,26:10:00,26:10:00,39,3,0,0,15.8074
5,26:20:00,26:20:00,55,4,0,0,26.6794
5,26:33:00,26:33:00,9,5,0,0,38.6500
5,26:40:00,26:40:00,71,6,0,0,44.6735
5,26:50:00,26:50:00,28,7,0,0,51.5695
5,27:20:00,27:20:00,1,8,0,0,59.2680
6,22:33:00,22:33:00,10,1,0,0,0.0000
6,22:42:00,22:42:00,2,2,0,0,5.2805
6,22:53:00,22:53:00,39,3,0,0,15.8074
6,23:04:00,23:04:00,55,4,0,0,26.6794
6,23:17:00,23:17:00,9,5,0,0,38.6500
6,23:28:00,23:28:00,71,6,0,0,44.6735
7,24:43:00,24:43:00,10,1,0,0,0.0000
7,24:52:00,24:52:00,2,2,0,0,5.2805
7,25:02:00,25:02:00,39,3,0,0,15.8074
7,25:13:00,25:13:00,55,4,0,0,26.6794
7,25:26:00,25:26:00,9,5,0,0,38.6500
7,25:37:00,25:37:00,71,6,0,0,44.6735
8,20:10:00,20:10:00,10,1,0,0,0.0000
8,20:19:00,20:19:00,2,2,0,0,5.2805
8,20:34:00,20:34:00,39,3,0,0,15.8074
8,20:45:00,20:45:00,55,4,0,0,26.6794
8,20:58:00,20:58:00,9,5,0,0,38.6500
8,21:05:00,21:05:00,71,6,0,0,44.6735
8,21:16:00,21:16:00,28,7,0,0,51.5695
9,04:35:00,04:35:00,10,1,0,0,0.0000
9,04:44:00,04:44:00,2,2,0,0,5.2805
9,04:54:00,04:54:00,39,3,0,0,15.8074
9,05:04:00,05:04:00,55,4,0,0,26.6794
9,05:17:00,05:17:00,9,5,0,0,38.6500
9,05:24:00,05:24:00,71,6,0,0,44.6735
9,05:34:00,05:34:00,28,7,0,0,51.5695
9,06:04:00,06:04:00,1,8,0,0,59.2680
10,06:44:00,06:44:00,10,1,0,0,0.0000
10,06:53:00,06:53:00,2,2,0,0,5.2805
10,07:04:00,07:04:00,39,3,0,0,15.8074
10,07:15:00,07:15:00,55,4,0,0,26.6794
10,07:29:00,07:29:00,9,5,0,0,38.6500
10,07:37:00,07:37:00,71,6,0,0,44.6735
10,07:47:00,07:47:00,28,7,0,0,51.5695
10,08:18:00,08:18:00,1,8,0,0,59.2680
11,08:53:00,08:53:00,10,1,0,0,0.0000
11,09:02:00,09:02:00,2,2,0,0,5.2805
11,09:13:00,09:13:00,39,3,0,0,15.8074
11,09:24:00,09:24:00,55,4,0,0,26.6794
11,09:37:00,09:37:00,9,5,0,0,38.6500
11,09:45:00,09:45:00,71,6,0,0,44.6735
11,09:56:00,09:56:00,28,7,0,0,51.5695
11,10:26:00,10:26:00,1,8,0,0,59.2680
12,11:18:00,11:18:00,10,1,0,0,0.0000
12,11:27:00,11:27:00,2,2,0,0,5.2805
12,11:38:00,11:38:00,39,3,0,0,15.8074
12,11:49:00,11:49:00,55,4,0,0,26.6794
12,12:02:00,12:02:00,9,5,0,0,38.6500
12,12:09:00,12:09:00,71,6,0,0,44.6735
12,12:20:00,12:20:00,28,7,0,0,51.5695
12,12:50:00,12:50:00,1,8,0,0,59.2680
