stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id
1,"30TH ST. PHL.",,39.956565,-75.182327,5961
2,"ABSECON",,39.424333,-74.502091,333
3,"ALLENDALE",,41.030902,-74.130957,2893
4,"ALLENHURST",,40.237659,-74.006769,5453
5,"ANDERSON STREET",,40.894458,-74.043781,1357
6,"ANNANDALE",,40.645173,-74.878569,5197
8,"ASBURY PARK",,40.215359,-74.014782,5453
9,"ATCO",,39.783547,-74.907588,4429
10,"ATLANTIC CITY",,39.363573,-74.442523,77
11,"AVENEL",,40.577620,-74.277530,2381
12,"BASKING RIDGE",,40.711380,-74.555267,4173
13,"BAY HEAD",,40.075843,-74.046931,5965
14,"BAY STREET",,40.808178,-74.208681,1357
15,"BELMAR",,40.180590,-74.027301,5709
17,"BERKELEY HEIGHTS",,40.682345,-74.442649,2893
18,"BERNARDSVILLE",,40.716847,-74.571023,4173
19,"BLOOMFIELD AVENUE",,40.792709,-74.200043,1101
20,"BOONTON",,40.903378,-74.407733,3661
21,"BOUND BROOK",,40.560931,-74.530614,3661
22,"BRADLEY BEACH",,40.203753,-74.018891,5453
23,"BRICK CHURCH",,40.765136,-74.218609,1101
24,"BRIDGEWATER",,40.559909,-74.551741,3917
25,"BROADWAY",,40.922507,-74.115233,1613
26,"CAMPBELL HALL",,41.450919,-74.266551,5709
27,"CHATHAM",,40.740137,-74.384812,2637
28,"CHERRY HILL",,39.928449,-75.041661,5197
29,"CLIFTON",,40.867998,-74.153199,1357
30,"CONVENT",,40.779043,-74.443435,3149
31,"ROSELLE PARK",,40.667155,-74.266319,1613
32,"CRANFORD",,40.655523,-74.303226,1869
33,"DELAWANNA",,40.831369,-74.131262,845
34,"DENVILLE",,40.883900,-74.481513,4173
35,"DOVER",,40.883415,-74.555887,4429
36,"DUNELLEN",,40.590869,-74.463043,3149
37,"EAST ORANGE",,40.760977,-74.210464,1101
38,"EDISON STATION",,40.519148,-74.410972,3405
39,"EGG HARBOR",,39.526443,-74.648025,1613
40,"ELBERON",,40.265292,-73.997617,5197
41,"ELIZABETH",,40.667859,-74.215171,1357
42,"EMERSON",,40.975038,-74.027467,2125
43,"ESSEX STREET",,40.878973,-74.051893,1357
44,"FANWOOD",,40.641062,-74.385003,2381
45,"FAR HILLS",,40.685715,-74.633734,4429
46,"GARFIELD",,40.866669,-74.105560,1101
47,"GARWOOD",,40.652569,-74.324794,2125
48,"GILLETTE",,40.678256,-74.468314,3149
49,"GLADSTONE",,40.720284,-74.666371,4685
50,"GLEN RIDGE",,40.800590,-74.204652,1101
51,"GLEN ROCK BORO HALL",,40.961370,-74.129300,2125
52,"GLEN ROCK MAIN LINE",,40.962208,-74.133485,2125
54,"HACKETTSTOWN",,40.851444,-74.835352,4941
55,"HAMMONTON",,39.631673,-74.799460,2893
57,"HARRIMAN",,41.293354,-74.139870,5197
58,"HAWTHORNE",,40.942539,-74.152411,1869
59,"HAZLET",,40.415385,-74.190393,4173
60,"HIGH BRIDGE",,40.666884,-74.895863,5453
61,"HIGHLAND AVENUE",,40.766865,-74.243740,1357
62,"HILLSDALE",,41.002416,-74.041033,2381
63,"HOBOKEN",,40.734843,-74.028046,336
64,"HOHOKUS",,40.997369,-74.113521,2637
66,"KINGSLAND",,40.810121,-74.117334,589
67,"LAKE HOPATCONG",,40.904219,-74.665694,4941
68,"LEBANON",,40.636908,-74.835766,5197
69,"LINCOLN PARK",,40.924138,-74.301823,2637
70,"LINDEN",,40.629485,-74.251772,1869
71,"LINDENWOLD",,39.833809,-75.000314,4941
72,"LITTLE FALLS",,40.880669,-74.235372,2125
73,"LITTLE SILVER",,40.326715,-74.041054,4941
74,"LONG BRANCH",,40.297145,-73.988331,5197
75,"LYNDHURST",,40.816478,-74.124161,589
76,"LYONS",,40.684846,-74.549470,3661
77,"MADISON",,40.757028,-74.415102,2893
78,"MAHWAH",,41.094416,-74.146617,3661
79,"MANASQUAN",,40.120573,-74.047685,5965
81,"MAPLEWOOD",,40.731149,-74.275424,1613
83,"METROPARK",,40.568640,-74.329394,2637
84,"METUCHEN",,40.540738,-74.360671,2893
85,"MIDDLETOWN NJ",,40.389780,-74.116131,4429
86,"MIDDLETOWN NY",,41.457488,-74.370390,5965
87,"MILLBURN",,40.725622,-74.303752,1869
88,"MILLINGTON",,40.673518,-74.523603,3661
89,"MONTCLAIR HEIGHTS",,40.857536,-74.202497,1613
90,"MONTVALE",,41.040879,-74.029152,2637
91,"MORRIS PLAINS",,40.828642,-74.478194,4173
92,"MORRISTOWN",,40.797115,-74.474086,3661
93,"MOUNT OLIVE",,40.907376,-74.730653,4941
94,"MOUNT TABOR",,40.875906,-74.481912,4173
95,"MOUNTAIN AVENUE",,40.848717,-74.205303,1613
96,"MOUNTAIN LAKES",,40.885949,-74.433601,3661
97,"MOUNTAIN STATION",,40.755370,-74.253024,1357
98,"MOUNTAIN VIEW",,40.914404,-74.268158,2381
99,"MURRAY HILL",,40.695073,-74.403134,2637
100,"NANUET",,41.090015,-74.014794,4941
101,"NETCONG",,40.897557,-74.707317,4941
102,"NETHERWOOD",,40.629148,-74.403455,2637
103,"NEW BRUNSWICK",,40.497278,-74.445751,3661
104,"NEW PROVIDENCE",,40.712024,-74.386498,2381
105,"NEW YORK PENN STATION",,40.750051,-73.992358,329
106,"NEWARK BROAD ST",,40.747623,-74.171943,589
107,"NEWARK PENN STATION",,40.734223,-74.164550,336
108,"NORTH BRANCH",,40.592022,-74.683802,4685
109,"NORTH ELIZABETH",,40.680267,-74.206165,1357
